Id,Title,Tags,Acceptance,Difficulty,Frequency,Link,Segment Tree,Binary Indexed Tree,Union Find,Binary Search,Queue,Database,Sort,Topological Sort,String,Recursion,Stack,Divide and Conquer,Heap,Line Sweep,Suffix Array,Graph,Geometry,Hash Table,Reservoir Sampling,Design,Brainteaser,Array,Trie,Memoization,Binary Search Tree,Breadth-first Search,Ordered Map,Linked List,Depth-first Search,Bit Manipulation,Random,Sliding Window,Minimax,Rolling Hash,Dynamic Programming,Greedy,Backtracking,Rejection Sampling,Two Pointers,Tree,Math,id,title,problem,processed_problem
1,Two Sum,"Array, Hash Table",45.7,Easy,0.820657,https://leetcode.com/problems/two-sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order.","['given', 'an', 'array', 'of', 'integers', 'nums', 'and', 'an', 'integer', 'target', 'return', 'indices', 'of', 'the', 'two', 'numbers', 'such', 'that', 'they', 'add', 'up', 'to', 'target', 'you', 'may', 'assume', 'that', 'each', 'input', 'would', 'have', 'exactly', 'one', 'solution', 'and', 'you', 'may', 'not', 'use', 'the', 'same', 'element', 'twice', 'you', 'can', 'return', 'the', 'answer', 'in', 'any', 'order']"
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5,Medium,0.755675,https://leetcode.com/problems/longest-substring-without-repeating-characters,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters.","['given', 'a', 'string', 's', 'find', 'the', 'length', 'of', 'the', 'longest', 'substring', 'without', 'repeating', 'characters']"
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8,Hard,21.4903,https://leetcode.com/problems/median-of-two-sorted-arrays,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Median of Two Sorted Arrays,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)).","['given', 'two', 'sorted', 'arrays', 'nums1', 'and', 'nums2', 'of', 'size', 'm', 'and', 'n', 'respectively', 'return', 'the', 'median', 'of', 'the', 'two', 'sorted', 'arrays', 'the', 'overall', 'run', 'time', 'complexity', 'should', 'be', 'o', 'log', 'm', 'n']"
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6,Medium,0.364401,https://leetcode.com/problems/longest-palindromic-substring,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,Longest Palindromic Substring,"Given a string s, return the longest palindromic substring in s.","['given', 'a', 'string', 's', 'return', 'the', 'longest', 'palindromic', 'substring', 'in', 's']"
8,String to Integer (atoi),"Math, String",15.4,Medium,3.17357,https://leetcode.com/problems/string-to-integer-atoi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,String to Integer (atoi),"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer (similar to C/C++'s atoi function). The algorithm for myAtoi(string s) is as follows: Read in and ignore any leading whitespace. Check if the next character (if not already at the end of the string) is '-' or '+'. Read this character in if it is either. This determines if the final result is negative or positive respectively. Assume the result is positive if neither is present. Read in next the characters until the next non-digit charcter or the end of the input is reached. The rest of the string is ignored. Convert these digits into an integer (i.e. ""123"" -> 123, ""0032"" -> 32). If no digits were read, then the integer is 0. Change the sign as necessary (from step 2). If the integer is out of the 32-bit signed integer range [-231, 231 - 1], then clamp the integer so that it remains in the range. Specifically, integers less than -231 should be clamped to -231, and integers greater than 231 - 1 should be clamped to 231 - 1. Return the integer as the final result. Note: Only the space character ' ' is considered a whitespace character. Do not ignore any characters other than the leading whitespace or the rest of the string after the digits.","['implement', 'the', 'myatoi', 'string', 's', 'function', 'which', 'converts', 'a', 'string', 'to', 'a', '32', 'bit', 'signed', 'integer', 'similar', 'to', 'c', 'c', 's', 'atoi', 'function', 'the', 'algorithm', 'for', 'myatoi', 'string', 's', 'is', 'as', 'follows', 'read', 'in', 'and', 'ignore', 'any', 'leading', 'whitespace', 'check', 'if', 'the', 'next', 'character', 'if', 'not', 'already', 'at', 'the', 'end', 'of', 'the', 'string', 'is', 'or', 'read', 'this', 'character', 'in', 'if', 'it', 'is', 'either', 'this', 'determines', 'if', 'the', 'final', 'result', 'is', 'negative', 'or', 'positive', 'respectively', 'assume', 'the', 'result', 'is', 'positive', 'if', 'neither', 'is', 'present', 'read', 'in', 'next', 'the', 'characters', 'until', 'the', 'next', 'non', 'digit', 'charcter', 'or', 'the', 'end', 'of', 'the', 'input', 'is', 'reached', 'the', 'rest', 'of', 'the', 'string', 'is', 'ignored', 'convert', 'these', 'digits', 'into', 'an', 'integer', 'i', 'e', '123', '123', '0032', '32', 'if', 'no', 'digits', 'were', 'read', 'then', 'the', 'integer', 'is', '0', 'change', 'the', 'sign', 'as', 'necessary', 'from', 'step', '2', 'if', 'the', 'integer', 'is', 'out', 'of', 'the', '32', 'bit', 'signed', 'integer', 'range', '231', '231', '1', 'then', 'clamp', 'the', 'integer', 'so', 'that', 'it', 'remains', 'in', 'the', 'range', 'specifically', 'integers', 'less', 'than', '231', 'should', 'be', 'clamped', 'to', '231', 'and', 'integers', 'greater', 'than', '231', '1', 'should', 'be', 'clamped', 'to', '231', '1', 'return', 'the', 'integer', 'as', 'the', 'final', 'result', 'note', 'only', 'the', 'space', 'character', 'is', 'considered', 'a', 'whitespace', 'character', 'do', 'not', 'ignore', 'any', 'characters', 'other', 'than', 'the', 'leading', 'whitespace', 'or', 'the', 'rest', 'of', 'the', 'string', 'after', 'the', 'digits']"
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9,Hard,1.82641,https://leetcode.com/problems/regular-expression-matching,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10.0,Regular Expression Matching,"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: '.' Matches any single character.​​​​ '*' Matches zero or more of the preceding element. The matching should cover the entire input string (not partial).","['given', 'an', 'input', 'string', 's', 'and', 'a', 'pattern', 'p', 'implement', 'regular', 'expression', 'matching', 'with', 'support', 'for', 'and', 'where', 'matches', 'any', 'single', 'character', 'matches', 'zero', 'or', 'more', 'of', 'the', 'preceding', 'element', 'the', 'matching', 'should', 'cover', 'the', 'entire', 'input', 'string', 'not', 'partial']"
11,Container With Most Water,"Array, Two Pointers",51.1,Medium,2.49184,https://leetcode.com/problems/container-with-most-water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,Container With Most Water,"Given n non-negative integers a1, a2, ..., an , where each represents a point at coordinate (i, ai). n vertical lines are drawn such that the two endpoints of the line i is at (i, ai) and (i, 0). Find two lines, which, together with the x-axis forms a container, such that the container contains the most water. Notice that you may not slant the container.","['given', 'n', 'non', 'negative', 'integers', 'a1', 'a2', 'an', 'where', 'each', 'represents', 'a', 'point', 'at', 'coordinate', 'i', 'ai', 'n', 'vertical', 'lines', 'are', 'drawn', 'such', 'that', 'the', 'two', 'endpoints', 'of', 'the', 'line', 'i', 'is', 'at', 'i', 'ai', 'and', 'i', '0', 'find', 'two', 'lines', 'which', 'together', 'with', 'the', 'x', 'axis', 'forms', 'a', 'container', 'such', 'that', 'the', 'container', 'contains', 'the', 'most', 'water', 'notice', 'that', 'you', 'may', 'not', 'slant', 'the', 'container']"
16,3Sum Closest,"Array, Two Pointers",46.0,Medium,0.321318,https://leetcode.com/problems/3sum-closest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0,3Sum Closest,"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target. Return the sum of the three integers. You may assume that each input would have exactly one solution.","['given', 'an', 'integer', 'array', 'nums', 'of', 'length', 'n', 'and', 'an', 'integer', 'target', 'find', 'three', 'integers', 'in', 'nums', 'such', 'that', 'the', 'sum', 'is', 'closest', 'to', 'target', 'return', 'the', 'sum', 'of', 'the', 'three', 'integers', 'you', 'may', 'assume', 'that', 'each', 'input', 'would', 'have', 'exactly', 'one', 'solution']"
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1,Medium,0.40214,https://leetcode.com/problems/letter-combinations-of-a-phone-number,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.0,Letter Combinations of a Phone Number,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digit to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.","['given', 'a', 'string', 'containing', 'digits', 'from', '2', '9', 'inclusive', 'return', 'all', 'possible', 'letter', 'combinations', 'that', 'the', 'number', 'could', 'represent', 'return', 'the', 'answer', 'in', 'any', 'order', 'a', 'mapping', 'of', 'digit', 'to', 'letters', 'just', 'like', 'on', 'the', 'telephone', 'buttons', 'is', 'given', 'below', 'note', 'that', '1', 'does', 'not', 'map', 'to', 'any', 'letters']"
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3,Medium,0.86618,https://leetcode.com/problems/remove-nth-node-from-end-of-list,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0,Remove Nth Node From End of List,"Given the head of a linked list, remove the nth node from the end of the list and return its head.","['given', 'the', 'head', 'of', 'a', 'linked', 'list', 'remove', 'the', 'nth', 'node', 'from', 'the', 'end', 'of', 'the', 'list', 'and', 'return', 'its', 'head']"
